episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-159.71651283537602,104.85319569157215,-645.9222616151752,281.43368102441536,-73.95127055238797,2.041355958859715,0,actor_critic,64,2,0.0003,0.99,0.3,0.001,0.0001,800
3500,-63.148819459270435,150.1162616725209,-800.3804590286667,313.63943627527647,88.46428192543488,148.34817511677122,1,actor_critic,64,2,0.0003,0.99,0.3,0.001,0.0001,800
3500,-25.268535537349226,148.60559718023617,-652.7355132964846,306.6916150578503,-109.82811143236107,124.73978676067105,2,actor_critic,64,2,0.0003,0.99,0.3,0.001,0.0001,800
