episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-172.04221130338775,101.6147990180381,-623.6307306481241,285.8941513676591,-88.61206855175584,-10.268638230927495,0,actor_critic,64,2,0.0001,0.99,0.5,0.001,0.0001,800
3500,-195.75507188966012,86.8672850557746,-669.8376142081316,198.69614791404797,-142.7017933753952,-114.25613031092192,1,actor_critic,64,2,0.0001,0.99,0.5,0.001,0.0001,800
3500,-115.81220288164602,101.06759839142289,-685.8745091083123,270.35978275099524,-11.279319621924111,-10.972966953011717,2,actor_critic,64,2,0.0001,0.99,0.5,0.001,0.0001,800
