episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-189.7780345935143,108.1916323792598,-717.7026155199577,243.67040122940244,-204.14204433503446,-33.69938977424489,0,actor_critic,64,2,0.0001,0.99,0.3,0.002,0.0001,800
3500,-104.66032977315115,116.36350886918525,-838.527551905813,239.35643687136954,-41.52294633154965,-2.5254890830276757,1,actor_critic,64,2,0.0001,0.99,0.3,0.002,0.0001,800
3500,-133.80385223203075,119.57248556850347,-644.238350263863,293.41349949305175,-108.80993280207439,32.69323440982537,2,actor_critic,64,2,0.0001,0.99,0.3,0.002,0.0001,800
