episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,buffer_size,batch_size,target_update_freq,epsilon_start,epsilon_end,epsilon_decay_episodes,ac_guidance_start,ac_guidance_end,ac_guidance_anneal_episodes,final_loss,mean_loss_last_50
1200,87.17826757692741,141.6289680968675,-521.028968235233,316.0110057544767,184.38007379127626,226.32908749175266,0,dqn,64,2,0.001,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,0.9915958418657905,0.9483744706306352
1200,96.49091162225824,151.78736095710008,-513.4236137971493,325.6960171349429,147.2866422727427,230.55964903223222,1,dqn,64,2,0.001,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,0.9154214831171456,0.9791300803923295
1200,91.02571988186253,171.5369149226059,-744.3853547859952,324.64345911171597,94.23516103512168,238.60905329952445,2,dqn,64,2,0.001,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,1.3117299111766947,1.3781422564068333
