episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor
1500,-9.54407918266127,111.24462442950566,-520.4777478707185,268.3297015874791,96.12912713608462,99.6237526835816,0,reinforce,64,2,0.001,0.99
1500,-24.72663794594192,113.6979127668543,-545.6842293776274,200.93236702132137,82.08773788857624,98.13031482172843,1,reinforce,64,2,0.001,0.99
1500,-24.164341268866774,124.09322844480273,-554.4596608344036,233.3158014727606,113.5312942343959,119.0760444989255,2,reinforce,64,2,0.001,0.99
