episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,buffer_size,batch_size,target_update_freq,epsilon_start,epsilon_end,epsilon_decay_episodes,ac_guidance_start,ac_guidance_end,ac_guidance_anneal_episodes,final_loss,mean_loss_last_50
1200,157.63473770962057,143.58748645582193,-407.49409795211926,319.34571236117074,206.1660770206802,262.54781560155624,0,dqn,64,2,0.0003,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,0.9269085608067966,0.8092452998509968
1200,64.84069406972107,142.4035318186204,-549.0470239012404,317.4655951734156,77.0481497911769,182.94227051371604,1,dqn,64,2,0.0003,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,0.8932933151379399,0.9455927876257186
1200,125.29861963974817,151.68071358294733,-434.06642376293996,313.0511314717534,245.60067206066236,265.18625577113505,2,dqn,64,2,0.0003,0.99,50000,64,250,1.0,0.05,300,0.8,0.0,200,0.6234521443780133,0.7165647362312485
