episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-48.278964173375215,160.27656927845194,-692.5112255881585,311.6830195852277,142.03920407314456,182.50416541247353,0,actor_critic,64,2,0.0003,0.99,0.5,0.001,0.0001,800
3500,-161.6641124491693,129.6464305203663,-721.5084793779422,273.5045048191879,-152.7517555381873,27.56756156883224,1,actor_critic,64,2,0.0003,0.99,0.5,0.001,0.0001,800
3500,-165.57399728884695,116.1398166644796,-897.5308398062124,268.194358293768,-207.78660990441836,24.34053788782738,2,actor_critic,64,2,0.0003,0.99,0.5,0.001,0.0001,800
