episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-484.3113258648815,547.3163022212769,-4961.211265139117,257.9951863522484,-887.0265233370457,-29.38584794617408,0,actor_critic,64,2,0.0003,0.99,0.3,0.002,0.0001,800
3500,-140.40093998903555,68.51094903952297,-948.8991442382346,232.4070407219494,-171.16453465316673,-100.18138174916018,1,actor_critic,64,2,0.0003,0.99,0.3,0.002,0.0001,800
3500,48.87987737928228,174.38503416207345,-707.0100585994079,320.1097101216326,182.9141850186501,194.02868342866697,2,actor_critic,64,2,0.0003,0.99,0.3,0.002,0.0001,800
