episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor
1500,-82.41378636567866,107.19943177207782,-566.5841559206076,237.134970879675,-67.79054397728738,23.377340466301373,0,reinforce,64,2,0.001,0.95
1500,-71.6963219214849,94.00040538636603,-611.2307686682645,177.7559939040295,-63.49286143117851,0.337335851501225,1,reinforce,64,2,0.001,0.95
1500,-69.85659974775426,89.1957477548981,-441.0576527959206,170.44499031702907,-69.08591689506247,18.448190025052998,2,reinforce,64,2,0.001,0.95
