episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-115.0941422267807,88.44704801370938,-606.6733261784018,307.3032439709667,-19.976020611818868,-2.0709949273400685,0,actor_critic,64,2,0.0001,0.99,0.5,0.002,0.0001,800
3500,-126.09110871867267,82.97418827373968,-620.5307278168242,248.20238758752248,-148.16590535793526,-71.97865749775201,1,actor_critic,64,2,0.0001,0.99,0.5,0.002,0.0001,800
3500,-120.98105770459365,73.78175761043725,-800.1069300285727,255.83975569790005,-57.859863227260846,-16.353857406170306,2,actor_critic,64,2,0.0001,0.99,0.5,0.002,0.0001,800
