episodes,mean_all,std_all,min_all,max_all,mean_last_100,best_100avg,seed,model,size,depth,lr,discount_factor,critic_weight,entropy_weight_start,entropy_weight_end,entropy_anneal_episodes
3500,-121.87375070469788,111.15809207598427,-750.5508208763788,280.8365249581323,-141.07444077686313,69.31270264786062,0,actor_critic,64,2,0.0003,0.99,0.5,0.002,0.0001,800
3500,-126.64204712525193,116.08474661472916,-885.2989037541063,295.2167228519471,-135.97238942105992,77.96825294730169,1,actor_critic,64,2,0.0003,0.99,0.5,0.002,0.0001,800
3500,-104.5439239243278,122.53779840544557,-548.0553110459839,281.57035244201245,-185.94135600720654,81.99183725721942,2,actor_critic,64,2,0.0003,0.99,0.5,0.002,0.0001,800
